target,regressor,total_pnl,mse,score
0,43,-209.1188502986157,2.1810251060116313e-05,-1.1584824858713185
0,44,-158.38066187315624,2.2517616209409804e-05,-0.9886545961321329
0,45,-190.86360616165834,2.1987341357989806e-05,-1.097452718430529
0,46,-159.5633698757031,2.1911043857857908e-05,-0.9926205099331862
0,47,-296.52749915135956,2.2547331256845487e-05,-1.4495571810296088
0,48,-68.4124804492991,2.206024405264822e-05,-0.685958286994422
0,49,-171.2617182096866,2.2011298201464996e-05,-1.0318294179816414
1,0,-122.8781324546926,3.943967275123452e-05,-1.0310383106956866
1,2,25.709253580324308,3.962512968710997e-05,-0.5297012874840559
1,3,-27.241360033044423,3.995398974936739e-05,-0.7088211500605419
1,4,201.27314045839273,3.8529408499444235e-05,0.06792239871633143
1,5,-142.02024831820006,3.93132267110722e-05,-1.0953312594607516
1,6,-84.94798806395112,4.014972073895614e-05,-0.9034446069141596
1,7,-12.96449170519134,3.966323752447665e-05,-0.6605764661358472
1,8,66.82147014155937,3.983393277981132e-05,-0.3902714986497865
1,9,-133.85102817045308,3.944443638962822e-05,-1.0679013191525344
1,10,-105.0867383996224,4.0259843587824156e-05,-0.9712222426551045
1,11,-29.908776138739462,3.994836478295958e-05,-0.7178307952687556
1,12,-28.175853606648026,3.990725507026118e-05,-0.7119777071224168
1,13,-48.912234386930415,3.9829614158516274e-05,-0.7819804736928019
1,14,-23.55272402400289,3.937735978311882e-05,-0.6963600158756476
1,15,-72.73071518183647,4.028747102500568e-05,-0.8622909365395078
1,16,-9.56834959631127,3.9925125289067534e-05,-0.6490946495539042
1,17,-95.67706652353282,4.030006698589229e-05,-0.9395628765839438
1,18,26.074861480202863,3.9295901540462146e-05,-0.5284627258645518
1,19,-150.44717376090938,3.980444054546037e-05,-1.1236137751933508
1,20,-57.11097612347219,4.053034870920776e-05,-0.8096364476851035
1,21,-102.05182877916077,3.988892015775535e-05,-0.9610128821546352
1,22,-62.60626004317897,3.9407429807089466e-05,-0.8281662511886658
1,23,-102.83703746634696,3.940794117245748e-05,-0.9636544655433055
1,24,-10.500199607960047,3.977491325089841e-05,-0.6522452970300092
1,25,-38.47407273685965,3.910124326029616e-05,-0.7467527128515032
1,26,23.604387355700503,3.9312833351508025e-05,-0.5368314156462607
1,27,-89.32232456717315,3.972524693828996e-05,-0.9181728658772221
1,28,-81.96214648083274,3.9742441275390164e-05,-0.8933893651265854
1,29,-156.33950974890357,4.0193549733494755e-05,-1.1433820035546358
1,30,-132.93124088784992,3.991643135648549e-05,-1.0648121717568133
1,31,49.06193622702536,3.861761071222428e-05,-0.4505403570486533
1,32,-201.67314765293915,4.03310834679522e-05,-1.2952606938370435
1,33,-97.09003436049117,3.982111111873826e-05,-0.9443179149955098
1,34,130.44767912608296,3.926103519501756e-05,-0.1738666301958467
1,35,-12.296876929618028,3.9730857023963956e-05,-0.6583195338578146
1,36,-62.04913933476417,3.9532217173515344e-05,-0.8262879211600298
1,37,-30.060854016553257,3.937670271838289e-05,-0.7183444245377797
1,38,64.89756661655885,3.930539135889062e-05,-0.39680329565514405
1,39,11.488876794975017,3.904770178266595e-05,-0.5778562189476714
1,40,-138.112910088529,4.000111016832913e-05,-1.0822130336141458
1,41,27.317900650192996,3.9320728408908036e-05,-0.524251525710329
1,42,-51.614999093910875,3.969826731802522e-05,-0.7910987897074712
1,43,28.20163221497677,3.983852038404539e-05,-0.5212574237325844
1,44,9.289974661044425,3.927221955493494e-05,-0.5852991089035502
1,45,-183.12455547670794,3.9743886927305005e-05,-1.2331636378530118
1,46,30.851371749184025,3.958564807196862e-05,-0.5122791839283414
1,47,-77.31056921326655,3.9959918852113254e-05,-0.877721284751682
1,48,-182.89253796029283,3.995251087808285e-05,-1.232386491831701
1,49,-12.070788478137308,3.982709038706947e-05,-0.6575552028109428
2,0,-313.1886889071739,0.00018426553542731102,-2.3583422659736146
2,1,-523.6364143278388,0.0001846243255683205,-3.059650046952785
2,3,-514.3218947038466,0.00018405395326266007,-3.02869117906688
2,4,-258.4375889618777,0.00018401471928407553,-2.175258774760292
2,5,-146.72364200901026,0.0001782194945502308,-1.8008949667859468
2,6,-295.7784999529678,0.00018227574500007847,-2.3001519532860715
2,7,-297.2967335886497,0.00018534560034816507,-2.3052274069100793
2,8,-570.7059331869298,0.00018464308843213248,-3.215980105100839
2,9,-436.7934077677059,0.00018132397564174263,-2.7707149923186956
2,10,-532.4465250721405,0.00018765036234413365,-3.0889254333755134
2,11,-389.67359158623464,0.00018572410225083905,-2.6136687469689033
2,12,-436.4623609988485,0.00018266555011578603,-2.7696123136329374
2,13,-473.1604618956649,0.00018260060627601503,-2.8917915251811195
2,14,-398.68032058260286,0.00018574881159118766,-2.6437022598213558
2,15,-739.0790876056951,0.0001846299816994679,-3.7735962681347313
2,16,-289.98613924449234,0.00018366544705661946,-2.2807862709989517
2,17,-377.9010845843007,0.00018380325973362568,-2.57440198509436
2,18,-590.7441226308176,0.0001876176778846704,-3.2824732721909298
2,19,-387.349178989726,0.0001845098098214624,-2.6059167048545344
2,20,-303.32438076488324,0.00018058235938228688,-2.325375864353952
2,21,-435.2226999422059,0.00018325494917731475,-2.7654830608618894
2,22,-594.5618599522818,0.00018636253701765412,-3.2951377607597605
2,23,-199.32759295394544,0.00018585011178756644,-1.9773095260149463
2,24,-369.734238934952,0.0001846818092274512,-2.5471547298203028
2,25,-608.6982423369843,0.00018553491088874285,-3.342020901756683
2,26,-457.35795254272347,0.00018762235039322878,-2.8391944751600096
2,27,-10.952030609678275,0.0001795585086896577,-1.3444655009535442
2,28,-258.64856434138034,0.0001840689989406544,-2.175964756210274
2,29,-208.19562820222674,0.0001836874128912386,-2.0070262380905444
2,30,-540.2106739087787,0.00018629359431299438,-3.114719542761345
2,31,-526.4985202815351,0.00018390979425097337,-3.069161369335472
2,32,-501.9527202008284,0.00018863056235826517,-2.9875677961641305
2,33,-423.4135327486925,0.00018356793391493412,-2.726140596364136
2,34,-367.62934098912575,0.00018118056973945082,-2.540131170276914
2,35,-422.31245669551726,0.00018549964938536487,-2.722471724263441
2,36,-466.28729402173275,0.00018672875469717107,-2.8689175499372426
2,37,-541.7223792657569,0.00018428308863396064,-3.1197411283536827
2,38,-627.9255756243922,0.00018412751552586028,-3.4057599273078876
2,39,-616.034681458726,0.00018518274575730077,-3.366345192492311
2,40,-601.3707098043496,0.00018409982057426792,-3.3177214197202263
2,41,108.309558831441,0.0001793597843819968,-0.9422271562593416
2,42,-435.39085848493556,0.00018313148976364666,-2.7660431968879884
2,43,-670.5555583321882,0.00018369126423431348,-3.546963071150283
2,44,-620.8725708446166,0.000185315784884482,-3.3823828406735426
2,45,-363.5464872091524,0.00018388829013350118,-2.5265065356092133
2,46,-488.93742761167465,0.0001844343775958247,-2.9442818937256767
2,47,-292.3433838120835,0.00018283988373738193,-2.288667629556952
2,48,-695.4103066928997,0.00018562681636585593,-3.6292152594239164
2,49,-620.3015773417594,0.0001867833619388566,-3.380490099075919
3,0,-512.6613299832178,0.00013926220381880908,-2.8526811105909315
3,1,-390.10622374308434,0.0001398138785519374,-2.4451017486084297
3,2,-213.15437119203523,0.00013965564005338966,-1.853977616142465
3,4,-92.33234501114329,0.00013538358028486745,-1.4485793011797905
3,5,-170.9922668547432,0.00014051488585598257,-1.712673623985547
3,6,-103.02136014732515,0.00014008675230170743,-1.4845027275006502
3,7,-179.69397311057736,0.0001377713827464613,-1.741851314922827
3,8,-526.6305284775885,0.0001394725080647552,-2.899042600807908
3,9,-486.5659760317386,0.00014514502685549985,-2.766022319507547
3,10,-407.1217173242686,0.00014033440181363135,-2.5017796300392106
3,11,-203.25255959026043,0.00013830226891397744,-1.8208080314575077
3,12,-440.16529262598647,0.0001410343274097721,-2.6117638448635336
3,13,-53.21166273085554,0.0001356356315670544,-1.3170069129049249
3,14,-190.20479901395242,0.0001380621228505556,-1.7770851802928238
3,15,-364.0949357168156,0.00014335898037352518,-2.358403519916846
3,16,-361.2744702020757,0.0001394226280199128,-2.348998579486321
3,17,-483.84324299408536,0.00013994000752991828,-2.756976587767979
3,18,-353.45838824395355,0.00013979773844581306,-2.32293144827974
3,19,-339.59730847324033,0.00014015055870760437,-2.2766889303389117
3,20,-221.97013261231328,0.00013825910185498672,-1.883500933574098
