target,regressor,pnl,beta,predicted_ret,true_ret,prediction_error
0,1,-0.644291662408766,0.03384526773287431,0.0006526035141159799,-0.005229129845693681,0.0058817333598096605
0,2,-0.644291662408766,-0.008867221013239276,0.0003887135736181171,-0.005229129845693681,0.005617843419311798
0,3,-0.644291662408766,0.017317237959050828,0.0003157355403657938,-0.005229129845693681,0.005544865386059475
0,4,-0.644291662408766,-0.07406717458708492,0.0002925671359672381,-0.005229129845693681,0.005521696981660919
0,5,-0.644291662408766,0.01815957820922955,7.903240583125932e-05,-0.005229129845693681,0.00530816225152494
0,6,-0.644291662408766,-0.02408768257538306,0.0004291892395811998,-0.005229129845693681,0.00565831908527488
0,7,-0.644291662408766,-0.027437164371879645,0.001122720566397975,-0.005229129845693681,0.006351850412091656
0,8,-0.644291662408766,-0.050968332284165585,0.0005745522611547212,-0.005229129845693681,0.005803682106848402
0,9,-0.644291662408766,-0.0033425973673307852,0.0002613953069718876,-0.005229129845693681,0.005490525152665568
0,10,-0.644291662408766,0.003332086872487774,0.0003775544009478064,-0.005229129845693681,0.005606684246641487
0,11,-0.644291662408766,0.014270427393218904,0.0008014546126900791,-0.005229129845693681,0.00603058445838376
0,12,-0.355708337591234,0.0534126769957994,-0.0005473326417192464,-0.005229129845693681,0.004681797203974434
0,13,-0.644291662408766,0.05255075008109113,0.0007932836842102822,-0.005229129845693681,0.006022413529903963
0,14,-0.644291662408766,0.03866009279479058,0.00015079438187131584,-0.005229129845693681,0.005379924227564997
0,15,-0.644291662408766,-0.030915264630295616,0.00021713560856682722,-0.005229129845693681,0.005446265454260508
0,16,-0.644291662408766,-0.0020779943574208096,0.00035570242392780747,-0.005229129845693681,0.005584832269621488
0,17,-0.355708337591234,0.057982143499170156,-5.925145982826121e-05,-0.005229129845693681,0.00516987838586542
0,18,-0.644291662408766,0.013692778557538136,0.0004986235240504507,-0.005229129845693681,0.0057277533697441315
0,19,-0.644291662408766,0.12030976487538868,0.0006576519004764211,-0.005229129845693681,0.005886781746170102
0,20,-0.644291662408766,0.07480915387531482,0.0005120996155746016,-0.005229129845693681,0.005741229461268283
0,21,-0.355708337591234,0.058105455006723414,-2.3807829589183465e-05,-0.005229129845693681,0.005205322016104497
0,22,-0.355708337591234,0.01876585055850797,-4.4434418460847776e-05,-0.005229129845693681,0.005184695427232833
0,23,-0.355708337591234,0.03329815745849758,-0.0001360208607573384,-0.005229129845693681,0.005093108984936342
0,24,-0.644291662408766,-0.03863914583919065,0.00014948471590380314,-0.005229129845693681,0.005378614561597484
0,25,-0.644291662408766,-0.06068910716053414,0.00022639339356924777,-0.005229129845693681,0.005455523239262928
0,26,-0.644291662408766,-0.013274261232571246,0.0001372146644590268,-0.005229129845693681,0.005366344510152708
0,27,-0.644291662408766,0.0002943486808814581,0.00034534095564577906,-0.005229129845693681,0.00557447080133946
0,28,-0.644291662408766,0.01580571627952526,0.00017487756492402486,-0.005229129845693681,0.005404007410617705
0,29,-0.644291662408766,-0.00028438425003471976,0.0003527555839138032,-0.005229129845693681,0.005581885429607484
0,30,-0.644291662408766,-0.014067101198476458,0.00027666725873353685,-0.005229129845693681,0.0055057971044272175
0,31,-0.355708337591234,0.0661144082259539,-0.00012547264543190032,-0.005229129845693681,0.00510365720026178
0,32,-0.644291662408766,0.010351969981626704,0.0004912680238572198,-0.005229129845693681,0.0057203978695509
0,33,-0.644291662408766,0.005088380468581209,0.0004236208959432792,-0.005229129845693681,0.00565275074163696
0,34,-0.644291662408766,0.019077025194654387,0.00028913965404360026,-0.005229129845693681,0.005518269499737281
0,35,-0.644291662408766,0.08070044740019722,0.0009454154104094816,-0.005229129845693681,0.006174545256103162
0,36,-0.644291662408766,0.0067586610291218265,0.00035113611935089884,-0.005229129845693681,0.00558026596504458
0,37,-0.644291662408766,0.007906448774660886,0.0003198280728326469,-0.005229129845693681,0.005548957918526328
0,38,-0.644291662408766,-0.015969004313103313,0.000337147686756065,-0.005229129845693681,0.0055662775324497454
0,39,-0.644291662408766,0.028030094790357025,0.0005641240428827587,-0.005229129845693681,0.00579325388857644
0,40,-0.644291662408766,-0.004081365519974315,0.00033073488052636337,-0.005229129845693681,0.0055598647262200445
0,41,-0.644291662408766,0.014789239083534536,0.0005429635321648027,-0.005229129845693681,0.005772093377858483
0,42,-0.644291662408766,-0.031963994644666927,9.332645423063826e-05,-0.005229129845693681,0.0053224562999243195
0,43,-0.355708337591234,0.02889467568131719,-1.2964913905037226e-07,-0.005229129845693681,0.00522900019655463
0,44,-0.355708337591234,0.05483478876818725,-0.00011332407254242187,-0.005229129845693681,0.005115805773151259
0,45,-0.644291662408766,-0.03994594184198049,0.0004029313826750396,-0.005229129845693681,0.0056320612283687205
0,46,-0.644291662408766,0.030163385075411747,0.00040461753508506883,-0.005229129845693681,0.005633747380778749
0,47,-0.644291662408766,-0.006768130529956387,0.00037204393825615584,-0.005229129845693681,0.0056011737839498366
0,48,-0.644291662408766,-0.057751368905927046,0.0004605802757565555,-0.005229129845693681,0.005689710121450236
0,49,-0.644291662408766,0.0011608045351128894,0.00034745528169412266,-0.005229129845693681,0.005576585127387804
1,0,-0.2866820175045176,0.11266073078924292,-0.0013945471827003317,-0.01080242263357123,0.009407875450870897
1,2,-0.2866820175045176,-0.0464904616554074,-0.0006427466103420607,-0.01080242263357123,0.010159676023229168
1,3,-0.2866820175045176,0.015193403177201944,-0.0008519334724798031,-0.01080242263357123,0.009950489161091427
1,4,-0.2866820175045176,-0.09587262244471624,-0.000987898012238828,-0.01080242263357123,0.0098145246213324
